v8-version,7,6,303,29,-node.15,0
shared-library,/home/user/.nvm/versions/node/v12.9.1/bin/node,0x400000,0x2770000,0
shared-library,/lib64/libc-2.26.so,0x7f8c63d06000,0x7f8c63eb7000,0
shared-library,/lib64/libpthread-2.26.so,0x7f8c640c1000,0x7f8c640da000,0
shared-library,/lib64/libgcc_s.so.1,0x7f8c642e0000,0x7f8c642f7000,0
shared-library,/lib64/libm-2.26.so,0x7f8c644f9000,0x7f8c64630000,0
shared-library,/usr/lib64/libstdc++.so.6.0.28,0x7f8c64831000,0x7f8c649fb000,0
shared-library,/lib64/librt-2.26.so,0x7f8c64c0b000,0x7f8c64c12000,0
shared-library,/lib64/libdl-2.26.so,0x7f8c64e13000,0x7f8c64e16000,0
shared-library,/lib64/ld-2.26.so,0x7f8c65017000,0x7f8c6503c000,0
shared-library,[vdso],0x7ffc051eb000,0x7ffc051ed000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7f8c63df327b,403,0,0x0,6
code-creation,Builtin,3,1225,0x12c6700,1626,RecordWrite
code-creation,Builtin,3,1234,0x12c6d60,457,EphemeronKeyBarrier
code-creation,Builtin,3,1237,0x12c6f40,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1240,0x12c6f80,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1243,0x12c70c0,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1246,0x12c71a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1249,0x12c72c0,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1252,0x12c73e0,130,CallBoundFunction
code-creation,Builtin,3,1254,0x12c7480,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1257,0x12c7500,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1260,0x12c7580,105,Call_ReceiverIsAny
code-creation,Builtin,3,1262,0x12c7600,922,CallProxy
code-creation,Builtin,3,1265,0x12c79a0,78,CallVarargs
code-creation,Builtin,3,1267,0x12c7a00,1000,CallWithSpread
code-creation,Builtin,3,1269,0x12c7e00,1002,CallWithArrayLike
code-creation,Builtin,3,1272,0x12c8200,103,CallForwardVarargs
