v8-version,7,6,303,29,-node.15,0
shared-library,/home/bsk/.nvm/versions/node/v12.9.1/bin/node,0x400000,0x2770000,0
shared-library,/lib64/libc-2.26.so,0x7fa35f576000,0x7fa35f727000,0
shared-library,/lib64/libpthread-2.26.so,0x7fa35f931000,0x7fa35f94a000,0
shared-library,/lib64/libgcc_s.so.1,0x7fa35fb50000,0x7fa35fb67000,0
shared-library,/lib64/libm-2.26.so,0x7fa35fd69000,0x7fa35fea0000,0
shared-library,/usr/lib64/libstdc++.so.6.0.28,0x7fa3600a1000,0x7fa36026b000,0
shared-library,/lib64/librt-2.26.so,0x7fa36047b000,0x7fa360482000,0
shared-library,/lib64/libdl-2.26.so,0x7fa360683000,0x7fa360686000,0
shared-library,/lib64/ld-2.26.so,0x7fa360887000,0x7fa3608ac000,0
shared-library,[vdso],0x7ffd613f1000,0x7ffd613f3000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
tick,0x7fa3601d1643,440,0,0x0,6
tick,0x1039f55,1499,0,0x0,6
code-creation,Builtin,3,1993,0x12c6700,1626,RecordWrite
code-creation,Builtin,3,2015,0x12c6d60,457,EphemeronKeyBarrier
code-creation,Builtin,3,2022,0x12c6f40,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2027,0x12c6f80,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2032,0x12c70c0,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2038,0x12c71a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2043,0x12c72c0,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2048,0x12c73e0,130,CallBoundFunction
code-creation,Builtin,3,2053,0x12c7480,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2058,0x12c7500,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2063,0x12c7580,105,Call_ReceiverIsAny
code-creation,Builtin,3,2068,0x12c7600,922,CallProxy
code-creation,Builtin,3,2072,0x12c79a0,78,CallVarargs
code-creation,Builtin,3,2077,0x12c7a00,1000,CallWithSpread
code-creation,Builtin,3,2081,0x12c7e00,1002,CallWithArrayLike
code-creation,Builtin,3,2086,0x12c8200,103,CallForwardVarargs
code-creation,Builtin,3,2091,0x12c8280,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2096,0x12c8300,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2101,0x12c83a0,269,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2106,0x12c84c0,378,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2116,0x12c8640,26,ConstructFunction
code-creation,Builtin,3,2121,0x12c8660,130,ConstructBoundFunction
code-creation,Builtin,3,2126,0x12c8700,28,ConstructedNonConstructable
code-creation,Builtin,3,2131,0x12c8720,86,Construct
code-creation,Builtin,3,2135,0x12c8780,78,ConstructVarargs
code-creation,Builtin,3,2140,0x12c87e0,1024,ConstructWithSpread
code-creation,Builtin,3,2144,0x12c8c00,1080,ConstructWithArrayLike
code-creation,Builtin,3,2149,0x12c9040,142,ConstructForwardVarargs
code-creation,Builtin,3,2154,0x12c90e0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2159,0x12c9180,328,JSConstructStubGeneric
code-creation,Builtin,3,2164,0x12c92e0,244,JSBuiltinsConstructStub
code-creation,Builtin,3,2169,0x12c93e0,955,FastNewObject
code-creation,Builtin,3,2174,0x12c97a0,305,FastNewClosure
code-creation,Builtin,3,2178,0x12c98e0,213,FastNewFunctionContextEval
code-creation,Builtin,3,2183,0x12c99c0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,2188,0x12c9aa0,258,CreateRegExpLiteral
code-creation,Builtin,3,2193,0x12c9bc0,598,CreateEmptyArrayLiteral
code-creation,Builtin,3,2198,0x12c9e20,1260,CreateShallowArrayLiteral
code-creation,Builtin,3,2203,0x12ca320,1894,CreateShallowObjectLiteral
code-creation,Builtin,3,2207,0x12caaa0,890,ConstructProxy
code-creation,Builtin,3,2212,0x12cae20,188,JSEntry
code-creation,Builtin,3,2216,0x12caee0,188,JSConstructEntry
code-creation,Builtin,3,2220,0x12cafa0,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2225,0x12cb060,98,JSEntryTrampoline
code-creation,Builtin,3,2230,0x12cb0e0,98,JSConstructEntryTrampoline
code-creation,Builtin,3,2234,0x12cb160,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,2239,0x12cb2a0,701,StringCharAt
code-creation,Builtin,3,2244,0x12cb560,846,StringCodePointAtUTF16
code-creation,Builtin,3,2248,0x12cb8c0,850,StringCodePointAtUTF32
code-creation,Builtin,3,2260,0x12cbc20,556,StringEqual
code-creation,Builtin,3,2265,0x12cbe60,272,StringGreaterThan
code-creation,Builtin,3,2269,0x12cbf80,272,StringGreaterThanOrEqual
code-creation,Builtin,3,2274,0x12cc0a0,1185,StringIndexOf
code-creation,Builtin,3,2278,0x12cc560,272,StringLessThan
code-creation,Builtin,3,2283,0x12cc680,272,StringLessThanOrEqual
code-creation,Builtin,3,2288,0x12cc7a0,3134,StringSubstring
code-creation,Builtin,3,2294,0x12cd3e0,120,OrderedHashTableHealIndex
code-creation,Builtin,3,2299,0x12cd460,851,InterpreterEntryTrampoline
code-creation,Builtin,3,2304,0x12cd7c0,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,2309,0x12cd820,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2314,0x12cd880,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2320,0x12cd8e0,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2325,0x12cd940,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2331,0x12cd9a0,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2337,0x12cda00,197,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2342,0x12cdae0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2348,0x12cdb40,63,InterpreterOnStackReplacement
code-creation,Builtin,3,2353,0x12cdb80,1101,CompileLazy
code-creation,Builtin,3,2357,0x12cdfe0,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2362,0x12ce040,177,InstantiateAsmJs
code-creation,Builtin,3,2366,0x12ce100,32,NotifyDeoptimized
code-creation,Builtin,3,2371,0x12ce140,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2376,0x12ce180,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2382,0x12ce1c0,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2386,0x12ce200,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2392,0x12ce240,271,CallApiCallback
code-creation,Builtin,3,2396,0x12ce360,253,CallApiGetter
code-creation,Builtin,3,2401,0x12ce460,12,HandleApiCall
code-creation,Builtin,3,2405,0x12ce480,12,HandleApiCallAsFunction
code-creation,Builtin,3,2411,0x12ce4a0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2416,0x12ce4c0,40,AllocateInYoungGeneration
code-creation,Builtin,3,2421,0x12ce500,56,AllocateInOldGeneration
code-creation,Builtin,3,2426,0x12ce540,531,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2431,0x12ce760,595,GrowFastDoubleElements
code-creation,Builtin,3,2436,0x12ce9c0,490,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2441,0x12cebc0,441,NewArgumentsElements
code-creation,Builtin,3,2446,0x12ced80,496,DebugBreakTrampoline
code-creation,Builtin,3,2451,0x12cef80,141,FrameDropperTrampoline
code-creation,Builtin,3,2456,0x12cf020,45,HandleDebuggerStatement
code-creation,Builtin,3,2461,0x12cf060,290,ToObject
code-creation,Builtin,3,2466,0x12cf1a0,108,ToBoolean
code-creation,Builtin,3,2473,0x12cf220,273,OrdinaryToPrimitive_Number
code-creation,Builtin,3,2478,0x12cf340,273,OrdinaryToPrimitive_String
code-creation,Builtin,3,2483,0x12cf460,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,2488,0x12cf540,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,2494,0x12cf620,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,2499,0x12cf700,85,StringToNumber
code-creation,Builtin,3,2503,0x12cf760,129,ToName
code-creation,Builtin,3,2507,0x12cf800,271,NonNumberToNumber
code-creation,Builtin,3,2512,0x12cf920,271,NonNumberToNumeric
code-creation,Builtin,3,2517,0x12cfa40,251,ToNumber
code-creation,Builtin,3,2521,0x12cfb40,292,ToNumberConvertBigInt
code-creation,Builtin,3,2526,0x12cfc80,307,ToNumeric
code-creation,Builtin,3,2537,0x12cfdc0,269,NumberToString
code-creation,Builtin,3,2545,0x12cfee0,474,ToInteger
code-creation,Builtin,3,2550,0x12d00c0,490,ToInteger_TruncateMinusZero
code-creation,Builtin,3,2556,0x12d02c0,530,ToLength
code-creation,Builtin,3,2561,0x12d04e0,140,Typeof
code-creation,Builtin,3,2566,0x12d0580,69,GetSuperConstructor
code-creation,Builtin,3,2572,0x12d05e0,133,BigIntToI64
code-creation,Builtin,3,2577,0x12d0680,277,I64ToBigInt
code-creation,Builtin,3,2582,0x12d07a0,116,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,2591,0x12d0820,2673,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,2597,0x12d12a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,2602,0x12d12e0,15826,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,2607,0x12d50c0,40,KeyedStoreIC_Slow
code-creation,Builtin,3,2612,0x12d5100,40,LoadGlobalIC_Slow
code-creation,Builtin,3,2617,0x12d5140,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,2622,0x12d51a0,36,LoadIC_Slow
code-creation,Builtin,3,2626,0x12d51e0,20,LoadIC_StringLength
code-creation,Builtin,3,2631,0x12d5200,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,2636,0x12d5220,3240,LoadIC_Uninitialized
code-creation,Builtin,3,2640,0x12d5ee0,40,StoreGlobalIC_Slow
code-creation,Builtin,3,2645,0x12d5f20,6724,StoreIC_Uninitialized
code-creation,Builtin,3,2650,0x12d7980,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,2655,0x12d79c0,380,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,2660,0x12d7b40,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,2665,0x12d7ba0,40,StoreInterceptorIC
code-creation,Builtin,3,2670,0x12d7be0,548,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,2676,0x12d7e20,548,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2682,0x12d8060,548,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,2688,0x12d82a0,548,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,2694,0x12d84e0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,2700,0x12d8520,5654,StoreFastElementIC_Standard
code-creation,Builtin,3,2705,0x12d9b40,10678,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2711,0x12dc500,5626,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,2716,0x12ddb00,7114,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,2722,0x12df6e0,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2728,0x12df720,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,2734,0x12df760,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,2747,0x12df7a0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,2760,0x12df7e0,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,2769,0x12df820,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,2777,0x12df860,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,2785,0x12df8a0,8724,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,2793,0x12e1ac0,18520,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
